year,id,state,month,number,date
2009,1,Acre,Abril,0,2009-01-01
2010,1,Acre,Abril,3,2010-01-01
2011,1,Acre,Abril,2,2011-01-01
2012,1,Acre,Abril,1,2012-01-01
2013,1,Acre,Abril,19,2013-01-01
2014,1,Acre,Abril,7,2014-01-01
2015,1,Acre,Abril,3,2015-01-01
2016,1,Acre,Abril,0,2016-01-01
2017,1,Acre,Abril,1,2017-01-01
1998,1,Acre,Maio,0,1998-01-01
1999,1,Acre,Maio,0,1999-01-01
2000,1,Acre,Maio,1,2000-01-01
2001,1,Acre,Maio,0,2001-01-01
2002,1,Acre,Maio,0,2002-01-01
2003,1,Acre,Maio,6,2003-01-01
2004,1,Acre,Maio,7,2004-01-01
2005,1,Acre,Maio,2,2005-01-01
2006,1,Acre,Maio,8,2006-01-01
2007,1,Acre,Maio,1,2007-01-01
2008,1,Acre,Maio,0,2008-01-01
2009,1,Acre,Maio,3,2009-01-01
2010,1,Acre,Maio,9,2010-01-01
2011,1,Acre,Maio,3,2011-01-01
2012,1,Acre,Maio,3,2012-01-01
2013,1,Acre,Maio,4,2013-01-01
2014,1,Acre,Maio,1,2014-01-01
2015,1,Acre,Maio,2,2015-01-01
2016,1,Acre,Maio,21,2016-01-01
2017,1,Acre,Maio,10,2017-01-01
1998,1,Acre,Junho,3,1998-01-01
1999,1,Acre,Junho,0,1999-01-01
2000,1,Acre,Junho,1,2000-01-01
2001,1,Acre,Junho,1,2001-01-01
2002,1,Acre,Junho,0,2002-01-01
2003,1,Acre,Junho,0,2003-01-01
2004,1,Acre,Junho,5,2004-01-01
2005,1,Acre,Junho,27,2005-01-01
2006,1,Acre,Junho,1,2006-01-01
2007,1,Acre,Junho,4,2007-01-01
2008,1,Acre,Junho,0,2008-01-01
2009,1,Acre,Junho,0,2009-01-01
2010,1,Acre,Junho,1,2010-01-01
2011,1,Acre,Junho,10,2011-01-01
2012,1,Acre,Junho,7,2012-01-01
2013,1,Acre,Junho,8,2013-01-01
2014,1,Acre,Junho,17,2014-01-01
2015,1,Acre,Junho,40,2015-01-01
2016,1,Acre,Junho,87,2016-01-01
2017,1,Acre,Junho,45,2017-01-01
1998,1,Acre,Julho,37,1998-01-01
1999,1,Acre,Julho,1,1999-01-01
2000,1,Acre,Julho,1,2000-01-01
2001,1,Acre,Julho,3,2001-01-01
2002,1,Acre,Julho,39,2002-01-01
2003,1,Acre,Julho,168,2003-01-01
2004,1,Acre,Julho,42,2004-01-01
2005,1,Acre,Julho,368,2005-01-01
2006,1,Acre,Julho,33,2006-01-01
2007,1,Acre,Julho,29,2007-01-01
2008,1,Acre,Julho,41,2008-01-01
2009,1,Acre,Julho,31,2009-01-01
2010,1,Acre,Julho,126,2010-01-01
2011,1,Acre,Julho,93,2011-01-01
2012,1,Acre,Julho,71,2012-01-01
2013,1,Acre,Julho,54,2013-01-01
2014,1,Acre,Julho,60,2014-01-01
2015,1,Acre,Julho,109,2015-01-01
2016,1,Acre,Julho,533,2016-01-01
2017,1,Acre,Julho,457,2017-01-01
1998,1,Acre,Agosto,130,1998-01-01
1999,1,Acre,Agosto,63,1999-01-01
2000,1,Acre,Agosto,136,2000-01-01
2001,1,Acre,Agosto,396,2001-01-01
2002,1,Acre,Agosto,728,2002-01-01
2003,1,Acre,Agosto,1.976,2003-01-01
2004,1,Acre,Agosto,645,2004-01-01
2005,1,Acre,Agosto,4.198,2005-01-01
2006,1,Acre,Agosto,839,2006-01-01
2007,1,Acre,Agosto,960,2007-01-01
2008,1,Acre,Agosto,445,2008-01-01
2009,1,Acre,Agosto,194,2009-01-01
2010,1,Acre,Agosto,1.682,2010-01-01
2011,1,Acre,Agosto,425,2011-01-01
2012,1,Acre,Agosto,739,2012-01-01
2013,1,Acre,Agosto,679,2013-01-01
2014,1,Acre,Agosto,1.1,2014-01-01
2015,1,Acre,Agosto,1.397,2015-01-01
2016,1,Acre,Agosto,2.188,2016-01-01
2017,1,Acre,Agosto,1.493,2017-01-01
1998,1,Acre,Setembro,509,1998-01-01
1999,1,Acre,Setembro,209,1999-01-01
2000,1,Acre,Setembro,265,2000-01-01
2001,1,Acre,Setembro,290,2001-01-01
2002,1,Acre,Setembro,1.949,2002-01-01
2003,1,Acre,Setembro,3.942,2003-01-01
2004,1,Acre,Setembro,1.978,2004-01-01
2005,1,Acre,Setembro,4.253,2005-01-01
2006,1,Acre,Setembro,2.37,2006-01-01
2007,1,Acre,Setembro,2.08,2007-01-01
2008,1,Acre,Setembro,1.666,2008-01-01
2009,1,Acre,Setembro,1.265,2009-01-01
2010,1,Acre,Setembro,2.531,2010-01-01
2011,1,Acre,Setembro,1.204,2011-01-01
2012,1,Acre,Setembro,1.996,2012-01-01
2013,1,Acre,Setembro,2.136,2013-01-01
2014,1,Acre,Setembro,2.175,2014-01-01
2015,1,Acre,Setembro,2.928,2015-01-01
2016,1,Acre,Setembro,3.586,2016-01-01
2017,1,Acre,Setembro,3.429,2017-01-01
1998,1,Acre,Outubro,44,1998-01-01
1999,1,Acre,Outubro,60,1999-01-01
2000,1,Acre,Outubro,18,2000-01-01
2001,1,Acre,Outubro,137,2001-01-01
2002,1,Acre,Outubro,687,2002-01-01
2003,1,Acre,Outubro,740,2003-01-01
2004,1,Acre,Outubro,461,2004-01-01
2005,1,Acre,Outubro,547,2005-01-01
2006,1,Acre,Outubro,316,2006-01-01
2007,1,Acre,Outubro,203,2007-01-01
2008,1,Acre,Outubro,652,2008-01-01
2009,1,Acre,Outubro,565,2009-01-01
2010,1,Acre,Outubro,292,2010-01-01
2011,1,Acre,Outubro,97,2011-01-01
2012,1,Acre,Outubro,348,2012-01-01
2013,1,Acre,Outubro,258,2013-01-01
2014,1,Acre,Outubro,406,2014-01-01
2015,1,Acre,Outubro,905,2015-01-01
2016,1,Acre,Outubro,509,2016-01-01
2017,1,Acre,Outubro,1.508,2017-01-01
1998,1,Acre,Novembro,0,1998-01-01
1999,1,Acre,Novembro,0,1999-01-01
2000,1,Acre,Novembro,0,2000-01-01
2001,1,Acre,Novembro,1,2001-01-01
2002,1,Acre,Novembro,86,2002-01-01
2003,1,Acre,Novembro,15,2003-01-01
2004,1,Acre,Novembro,10,2004-01-01
2005,1,Acre,Novembro,14,2005-01-01
2006,1,Acre,Novembro,18,2006-01-01
2007,1,Acre,Novembro,7,2007-01-01
2008,1,Acre,Novembro,4,2008-01-01
2009,1,Acre,Novembro,33,2009-01-01
2010,1,Acre,Novembro,39,2010-01-01
2011,1,Acre,Novembro,74,2011-01-01
2012,1,Acre,Novembro,13,2012-01-01
2013,1,Acre,Novembro,79,2013-01-01
2014,1,Acre,Novembro,56,2014-01-01
2015,1,Acre,Novembro,115,2015-01-01
2016,1,Acre,Novembro,46,2016-01-01
2017,1,Acre,Novembro,98,2017-01-01
1998,1,Acre,Dezembro,7,1998-01-01
1999,1,Acre,Dezembro,0,1999-01-01
2000,1,Acre,Dezembro,0,2000-01-01
2001,1,Acre,Dezembro,0,2001-01-01
2002,1,Acre,Dezembro,1,2002-01-01
2003,1,Acre,Dezembro,1,2003-01-01
2004,1,Acre,Dezembro,7,2004-01-01
2005,1,Acre,Dezembro,2,2005-01-01
2006,1,Acre,Dezembro,0,2006-01-01
2007,1,Acre,Dezembro,0,2007-01-01
2008,1,Acre,Dezembro,0,2008-01-01
2009,1,Acre,Dezembro,1,2009-01-01
2010,1,Acre,Dezembro,0,2010-01-01
2011,1,Acre,Dezembro,4,2011-01-01
2012,1,Acre,Dezembro,1,2012-01-01
2013,1,Acre,Dezembro,3,2013-01-01
2014,1,Acre,Dezembro,6,2014-01-01
2015,1,Acre,Dezembro,8,2015-01-01
2016,1,Acre,Dezembro,6,2016-01-01
1998,2,Alagoas,Janeiro,0,1998-01-01
1999,2,Alagoas,Janeiro,58,1999-01-01
2000,2,Alagoas,Janeiro,11,2000-01-01
2001,2,Alagoas,Janeiro,5,2001-01-01
2002,2,Alagoas,Janeiro,12,2002-01-01
2003,2,Alagoas,Janeiro,150,2003-01-01
2004,2,Alagoas,Janeiro,9,2004-01-01
2005,2,Alagoas,Janeiro,83,2005-01-01
2006,2,Alagoas,Janeiro,29,2006-01-01
2007,2,Alagoas,Janeiro,33,2007-01-01
2008,2,Alagoas,Janeiro,55,2008-01-01
2009,2,Alagoas,Janeiro,104,2009-01-01
2010,2,Alagoas,Janeiro,23,2010-01-01
2011,2,Alagoas,Janeiro,41,2011-01-01
2012,2,Alagoas,Janeiro,36,2012-01-01
2013,2,Alagoas,Janeiro,49,2013-01-01
2014,2,Alagoas,Janeiro,54,2014-01-01
2015,2,Alagoas,Janeiro,81,2015-01-01
2016,2,Alagoas,Janeiro,24,2016-01-01
2017,2,Alagoas,Janeiro,38,2017-01-01
2017,2,Alagoas,Janeiro,38,2017-01-01
1998,2,Alagoas,Fevereiro,0,1998-01-01
1999,2,Alagoas,Fevereiro,20,1999-01-01
2000,2,Alagoas,Fevereiro,16,2000-01-01
2001,2,Alagoas,Fevereiro,4,2001-01-01
2002,2,Alagoas,Fevereiro,15,2002-01-01
2003,2,Alagoas,Fevereiro,33,2003-01-01
2004,2,Alagoas,Fevereiro,7,2004-01-01
2005,2,Alagoas,Fevereiro,31,2005-01-01
2006,2,Alagoas,Fevereiro,14,2006-01-01
2007,2,Alagoas,Fevereiro,28,2007-01-01
2008,2,Alagoas,Fevereiro,74,2008-01-01
2009,2,Alagoas,Fevereiro,32,2009-01-01
2010,2,Alagoas,Fevereiro,26,2010-01-01
2011,2,Alagoas,Fevereiro,33,2011-01-01
2012,2,Alagoas,Fevereiro,41,2012-01-01
2013,2,Alagoas,Fevereiro,19,2013-01-01
2014,2,Alagoas,Fevereiro,29,2014-01-01
2015,2,Alagoas,Fevereiro,46,2015-01-01
2016,2,Alagoas,Fevereiro,14,2016-01-01
2017,2,Alagoas,Fevereiro,21,2017-01-01
1998,2,Alagoas,Março,0,1998-01-01
1999,2,Alagoas,Março,52,1999-01-01
2000,2,Alagoas,Março,32,2000-01-01
2001,2,Alagoas,Março,0,2001-01-01
2002,2,Alagoas,Março,27,2002-01-01
2003,2,Alagoas,Março,15,2003-01-01
2004,2,Alagoas,Março,16,2004-01-01
2005,2,Alagoas,Março,35,2005-01-01
2006,2,Alagoas,Março,37,2006-01-01
2007,2,Alagoas,Março,7,2007-01-01
2008,2,Alagoas,Março,31,2008-01-01
2009,2,Alagoas,Março,31,2009-01-01
2010,2,Alagoas,Março,70,2010-01-01
2011,2,Alagoas,Março,34,2011-01-01
2012,2,Alagoas,Março,44,2012-01-01
2013,2,Alagoas,Março,31,2013-01-01
2014,2,Alagoas,Março,28,2014-01-01
2015,2,Alagoas,Março,32,2015-01-01
2016,2,Alagoas,Março,9,2016-01-01
2017,2,Alagoas,Março,23,2017-01-01
1998,2,Alagoas,Abril,0,1998-01-01
1999,2,Alagoas,Abril,4,1999-01-01
2000,2,Alagoas,Abril,20,2000-01-01
2001,2,Alagoas,Abril,0,2001-01-01
2002,2,Alagoas,Abril,6,2002-01-01
2003,2,Alagoas,Abril,20,2003-01-01
2004,2,Alagoas,Abril,6,2004-01-01
2005,2,Alagoas,Abril,1,2005-01-01
2006,2,Alagoas,Abril,2,2006-01-01
2007,2,Alagoas,Abril,1,2007-01-01
2008,2,Alagoas,Abril,18,2008-01-01
2009,2,Alagoas,Abril,5,2009-01-01
2010,2,Alagoas,Abril,3,2010-01-01
2011,2,Alagoas,Abril,17,2011-01-01
2012,2,Alagoas,Abril,18,2012-01-01
2013,2,Alagoas,Abril,25,2013-01-01
2014,2,Alagoas,Abril,16,2014-01-01
2015,2,Alagoas,Abril,63,2015-01-01
2016,2,Alagoas,Abril,13,2016-01-01
2017,2,Alagoas,Abril,7,2017-01-01
1998,2,Alagoas,Maio,0,1998-01-01
1999,2,Alagoas,Maio,1,1999-01-01
2000,2,Alagoas,Maio,1,2000-01-01
2001,2,Alagoas,Maio,2,2001-01-01
2002,2,Alagoas,Maio,1,2002-01-01
2003,2,Alagoas,Maio,1,2003-01-01
2004,2,Alagoas,Maio,3,2004-01-01
2005,2,Alagoas,Maio,0,2005-01-01
2006,2,Alagoas,Maio,0,2006-01-01
2007,2,Alagoas,Maio,0,2007-01-01
2008,2,Alagoas,Maio,0,2008-01-01
2009,2,Alagoas,Maio,0,2009-01-01
2010,2,Alagoas,Maio,0,2010-01-01
2011,2,Alagoas,Maio,0,2011-01-01
2012,2,Alagoas,Maio,21,2012-01-01
2013,2,Alagoas,Maio,2,2013-01-01
2014,2,Alagoas,Maio,1,2014-01-01
2015,2,Alagoas,Maio,18,2015-01-01
2016,2,Alagoas,Maio,4,2016-01-01
2017,2,Alagoas,Maio,1,2017-01-01
1998,2,Alagoas,Junho,0,1998-01-01
1999,2,Alagoas,Junho,0,1999-01-01
2000,2,Alagoas,Junho,0,2000-01-01
2001,2,Alagoas,Junho,2,2001-01-01
2002,2,Alagoas,Junho,0,2002-01-01
2003,2,Alagoas,Junho,0,2003-01-01
2004,2,Alagoas,Junho,0,2004-01-01
2005,2,Alagoas,Junho,0,2005-01-01
2006,2,Alagoas,Junho,0,2006-01-01
2007,2,Alagoas,Junho,0,2007-01-01
2008,2,Alagoas,Junho,0,2008-01-01
2009,2,Alagoas,Junho,0,2009-01-01
2010,2,Alagoas,Junho,0,2010-01-01
2011,2,Alagoas,Junho,2,2011-01-01
2012,2,Alagoas,Junho,4,2012-01-01
2013,2,Alagoas,Junho,1,2013-01-01
2014,2,Alagoas,Junho,2,2014-01-01
2015,2,Alagoas,Junho,2,2015-01-01
2016,2,Alagoas,Junho,5,2016-01-01
2017,2,Alagoas,Junho,2,2017-01-01
1998,2,Alagoas,Julho,0,1998-01-01
1999,2,Alagoas,Julho,0,1999-01-01
2000,2,Alagoas,Julho,0,2000-01-01
2001,2,Alagoas,Julho,0,2001-01-01
2002,2,Alagoas,Julho,5,2002-01-01
2003,2,Alagoas,Julho,0,2003-01-01
2004,2,Alagoas,Julho,0,2004-01-01
2005,2,Alagoas,Julho,0,2005-01-01
2006,2,Alagoas,Julho,0,2006-01-01
2007,2,Alagoas,Julho,0,2007-01-01
2008,2,Alagoas,Julho,0,2008-01-01
2009,2,Alagoas,Julho,0,2009-01-01
2010,2,Alagoas,Julho,2,2010-01-01
2011,2,Alagoas,Julho,0,2011-01-01
2012,2,Alagoas,Julho,0,2012-01-01
2013,2,Alagoas,Julho,0,2013-01-01
2014,2,Alagoas,Julho,1,2014-01-01
2015,2,Alagoas,Julho,0,2015-01-01
2016,2,Alagoas,Julho,3,2016-01-01
2017,2,Alagoas,Julho,0,2017-01-01
1998,2,Alagoas,Agosto,1,1998-01-01
1999,2,Alagoas,Agosto,3,1999-01-01
2000,2,Alagoas,Agosto,4,2000-01-01
2001,2,Alagoas,Agosto,1,2001-01-01
2002,2,Alagoas,Agosto,3,2002-01-01
2003,2,Alagoas,Agosto,2,2003-01-01
2004,2,Alagoas,Agosto,2,2004-01-01
2005,2,Alagoas,Agosto,2,2005-01-01
2006,2,Alagoas,Agosto,1,2006-01-01
2007,2,Alagoas,Agosto,3,2007-01-01
2008,2,Alagoas,Agosto,1,2008-01-01
2009,2,Alagoas,Agosto,0,2009-01-01
2010,2,Alagoas,Agosto,1,2010-01-01
2011,2,Alagoas,Agosto,4,2011-01-01
2012,2,Alagoas,Agosto,0,2012-01-01
2013,2,Alagoas,Agosto,0,2013-01-01
2014,2,Alagoas,Agosto,3,2014-01-01
2015,2,Alagoas,Agosto,3,2015-01-01
2016,2,Alagoas,Agosto,5,2016-01-01
2017,2,Alagoas,Agosto,1,2017-01-01
1998,2,Alagoas,Setembro,14,1998-01-01
1999,2,Alagoas,Setembro,3,1999-01-01
2000,2,Alagoas,Setembro,22,2000-01-01
2001,2,Alagoas,Setembro,5,2001-01-01
2002,2,Alagoas,Setembro,14,2002-01-01
2003,2,Alagoas,Setembro,8,2003-01-01
2004,2,Alagoas,Setembro,5,2004-01-01
2005,2,Alagoas,Setembro,7,2005-01-01
2006,2,Alagoas,Setembro,4,2006-01-01
2007,2,Alagoas,Setembro,2,2007-01-01
2008,2,Alagoas,Setembro,9,2008-01-01
2009,2,Alagoas,Setembro,13,2009-01-01
2010,2,Alagoas,Setembro,5,2010-01-01
2011,2,Alagoas,Setembro,5,2011-01-01
2012,2,Alagoas,Setembro,6,2012-01-01
2013,2,Alagoas,Setembro,4,2013-01-01
2014,2,Alagoas,Setembro,11,2014-01-01
2015,2,Alagoas,Setembro,7,2015-01-01
2016,2,Alagoas,Setembro,18,2016-01-01
2017,2,Alagoas,Setembro,4,2017-01-01
1998,2,Alagoas,Outubro,20,1998-01-01
1999,2,Alagoas,Outubro,4,1999-01-01
2000,2,Alagoas,Outubro,13,2000-01-01
2001,2,Alagoas,Outubro,15,2001-01-01
2002,2,Alagoas,Outubro,30,2002-01-01
2003,2,Alagoas,Outubro,10,2003-01-01
2004,2,Alagoas,Outubro,12,2004-01-01
2005,2,Alagoas,Outubro,17,2005-01-01
2006,2,Alagoas,Outubro,32,2006-01-01
2007,2,Alagoas,Outubro,6,2007-01-01
2008,2,Alagoas,Outubro,18,2008-01-01
2009,2,Alagoas,Outubro,30,2009-01-01
2010,2,Alagoas,Outubro,16,2010-01-01
2011,2,Alagoas,Outubro,23,2011-01-01
2012,2,Alagoas,Outubro,28,2012-01-01
2013,2,Alagoas,Outubro,25,2013-01-01
2014,2,Alagoas,Outubro,7,2014-01-01
2015,2,Alagoas,Outubro,40,2015-01-01
2016,2,Alagoas,Outubro,74,2016-01-01
2017,2,Alagoas,Outubro,14,2017-01-01
1998,2,Alagoas,Novembro,19,1998-01-01
1999,2,Alagoas,Novembro,15,1999-01-01
2000,2,Alagoas,Novembro,2,2000-01-01
2001,2,Alagoas,Novembro,22,2001-01-01
2002,2,Alagoas,Novembro,50,2002-01-01
2003,2,Alagoas,Novembro,17,2003-01-01
2004,2,Alagoas,Novembro,28,2004-01-01
2005,2,Alagoas,Novembro,25,2005-01-01
2006,2,Alagoas,Novembro,12,2006-01-01
2007,2,Alagoas,Novembro,15,2007-01-01
2008,2,Alagoas,Novembro,37,2008-01-01
2009,2,Alagoas,Novembro,55,2009-01-01
2010,2,Alagoas,Novembro,31,2010-01-01
2011,2,Alagoas,Novembro,23,2011-01-01
2012,2,Alagoas,Novembro,95,2012-01-01
2013,2,Alagoas,Novembro,10,2013-01-01
2014,2,Alagoas,Novembro,14,2014-01-01
2015,2,Alagoas,Novembro,162,2015-01-01
2016,2,Alagoas,Novembro,76,2016-01-01
2017,2,Alagoas,Novembro,10,2017-01-01
1998,2,Alagoas,Dezembro,32,1998-01-01
1999,2,Alagoas,Dezembro,12,1999-01-01
2000,2,Alagoas,Dezembro,2,2000-01-01
2001,2,Alagoas,Dezembro,30,2001-01-01
2002,2,Alagoas,Dezembro,95,2002-01-01
2003,2,Alagoas,Dezembro,43,2003-01-01
2004,2,Alagoas,Dezembro,71,2004-01-01
2005,2,Alagoas,Dezembro,16,2005-01-01
2006,2,Alagoas,Dezembro,30,2006-01-01
2007,2,Alagoas,Dezembro,33,2007-01-01
2008,2,Alagoas,Dezembro,34,2008-01-01
2009,2,Alagoas,Dezembro,55,2009-01-01
2010,2,Alagoas,Dezembro,45,2010-01-01
2011,2,Alagoas,Dezembro,50,2011-01-01
2012,2,Alagoas,Dezembro,59,2012-01-01
2013,2,Alagoas,Dezembro,42,2013-01-01
2014,2,Alagoas,Dezembro,24,2014-01-01
2015,2,Alagoas,Dezembro,136,2015-01-01
2016,2,Alagoas,Dezembro,155,2016-01-01
1998,4,Amapa,Janeiro,0,1998-01-01
1999,4,Amapa,Janeiro,0,1999-01-01
2000,4,Amapa,Janeiro,2,2000-01-01
2001,4,Amapa,Janeiro,0,2001-01-01
2002,4,Amapa,Janeiro,7,2002-01-01
2003,4,Amapa,Janeiro,31,2003-01-01
2004,4,Amapa,Janeiro,38,2004-01-01
2005,4,Amapa,Janeiro,109,2005-01-01
2006,4,Amapa,Janeiro,6,2006-01-01
2007,4,Amapa,Janeiro,0,2007-01-01
2008,4,Amapa,Janeiro,2,2008-01-01
2009,4,Amapa,Janeiro,4,2009-01-01
2010,4,Amapa,Janeiro,2,2010-01-01
2011,4,Amapa,Janeiro,0,2011-01-01
2012,4,Amapa,Janeiro,30,2012-01-01
2013,4,Amapa,Janeiro,3,2013-01-01
2014,4,Amapa,Janeiro,10,2014-01-01
2015,4,Amapa,Janeiro,14,2015-01-01
2016,4,Amapa,Janeiro,19,2016-01-01
2017,4,Amapa,Janeiro,2,2017-01-01
1998,4,Amapa,Fevereiro,0,1998-01-01
1999,4,Amapa,Fevereiro,1,1999-01-01
2000,4,Amapa,Fevereiro,0,2000-01-01
2001,4,Amapa,Fevereiro,0,2001-01-01
2002,4,Amapa,Fevereiro,2,2002-01-01
2003,4,Amapa,Fevereiro,0,2003-01-01
2004,4,Amapa,Fevereiro,2,2004-01-01
2005,4,Amapa,Fevereiro,1,2005-01-01
2006,4,Amapa,Fevereiro,2,2006-01-01
2007,4,Amapa,Fevereiro,0,2007-01-01
2008,4,Amapa,Fevereiro,0,2008-01-01
2009,4,Amapa,Fevereiro,0,2009-01-01
2010,4,Amapa,Fevereiro,0,2010-01-01
2011,4,Amapa,Fevereiro,3,2011-01-01
2012,4,Amapa,Fevereiro,5,2012-01-01
2013,4,Amapa,Fevereiro,0,2013-01-01
2014,4,Amapa,Fevereiro,2,2014-01-01
2015,4,Amapa,Fevereiro,1,2015-01-01
2016,4,Amapa,Fevereiro,1,2016-01-01
2017,4,Amapa,Fevereiro,0,2017-01-01
1998,4,Amapa,Março,0,1998-01-01
1999,4,Amapa,Março,2,1999-01-01
2000,4,Amapa,Março,0,2000-01-01
2001,4,Amapa,Março,0,2001-01-01
2002,4,Amapa,Março,0,2002-01-01
2003,4,Amapa,Março,1,2003-01-01
2004,4,Amapa,Março,0,2004-01-01
2005,4,Amapa,Março,0,2005-01-01
2006,4,Amapa,Março,0,2006-01-01
2007,4,Amapa,Março,0,2007-01-01
2008,4,Amapa,Março,1,2008-01-01
2009,4,Amapa,Março,1,2009-01-01
2010,4,Amapa,Março,2,2010-01-01
2011,4,Amapa,Março,0,2011-01-01
2012,4,Amapa,Março,1,2012-01-01
2013,4,Amapa,Março,0,2013-01-01
2014,4,Amapa,Março,1,2014-01-01
2015,4,Amapa,Março,2,2015-01-01
2016,4,Amapa,Março,5,2016-01-01
2017,4,Amapa,Março,0,2017-01-01
1998,4,Amapa,Abril,0,1998-01-01
1999,4,Amapa,Abril,0,1999-01-01
2000,4,Amapa,Abril,0,2000-01-01
2001,4,Amapa,Abril,0,2001-01-01
2002,4,Amapa,Abril,0,2002-01-01
2003,4,Amapa,Abril,2,2003-01-01
2004,4,Amapa,Abril,0,2004-01-01
2005,4,Amapa,Abril,0,2005-01-01
2006,4,Amapa,Abril,0,2006-01-01
2007,4,Amapa,Abril,0,2007-01-01
2008,4,Amapa,Abril,2,2008-01-01
2009,4,Amapa,Abril,0,2009-01-01
2010,4,Amapa,Abril,2,2010-01-01
2011,4,Amapa,Abril,0,2011-01-01
2012,4,Amapa,Abril,2,2012-01-01
2013,4,Amapa,Abril,2,2013-01-01
2014,4,Amapa,Abril,0,2014-01-01
2015,4,Amapa,Abril,0,2015-01-01
2016,4,Amapa,Abril,0,2016-01-01
2017,4,Amapa,Abril,3,2017-01-01
1998,4,Amapa,Maio,0,1998-01-01
1999,4,Amapa,Maio,0,1999-01-01
2000,4,Amapa,Maio,0,2000-01-01
2001,4,Amapa,Maio,0,2001-01-01
2002,4,Amapa,Maio,3,2002-01-01
2003,4,Amapa,Maio,0,2003-01-01
2004,4,Amapa,Maio,0,2004-01-01
2005,4,Amapa,Maio,0,2005-01-01
2006,4,Amapa,Maio,0,2006-01-01
2007,4,Amapa,Maio,0,2007-01-01
2008,4,Amapa,Maio,0,2008-01-01
2009,4,Amapa,Maio,2,2009-01-01
2010,4,Amapa,Maio,2,2010-01-01
2011,4,Amapa,Maio,2,2011-01-01
2012,4,Amapa,Maio,2,2012-01-01
2013,4,Amapa,Maio,0,2013-01-01
2014,4,Amapa,Maio,0,2014-01-01
2015,4,Amapa,Maio,0,2015-01-01
2016,4,Amapa,Maio,1,2016-01-01
2017,4,Amapa,Maio,1,2017-01-01
1998,4,Amapa,Junho,0,1998-01-01
1999,4,Amapa,Junho,2,1999-01-01
2000,4,Amapa,Junho,0,2000-01-01
2001,4,Amapa,Junho,0,2001-01-01
2002,4,Amapa,Junho,0,2002-01-01
